OBJECTID,Date_,EggNo,Species,SampleNo,UnitNo,UnitNo2,UnitNo3,UnitNo4,SeEgg,Comments
2,5/15/2013 0:00,1,MALL,BL13E01U06,Unit 6,Unit 5,Unit 4C,Inter-unit Canal,3.74, 
3,6/5/2013 10:24,2,BWTE,BL13E02U4C,Unit 4C,Inter-unit Canal,,,3.71,
4,6/10/2013 10:36,3,BWTE,BL13E03U4C,Unit 4C,Inter-unit Canal,,,3.15,UN 3 UN 3 SIDESIDE OOF CANAL
5,6/11/2013 8:56,4,GADW?,BL13E04U4B,Unit 4B,Unit 4C,Inter-unit Canal,,3.1,ABOND?
6,6/11/2013 9:50,5,NOPI,BL13E05U03,Unit 3,Unit 5,,,3.52,BOAT RAMP
7,6/12/2013 8:50,6,BWTE,BL13E06U06,Unit 6,Unit 5,,,2.99,DIKE
8,6/12/2013 8:57,7,GADW,BL13E07U06,Unit 6,Unit 5,,,2.23,DIKE
9,6/12/2013 9:25,8,GADW,BL13E08U06,Unit 6,Unit 5,,,2.1,DIKE
10,6/12/2013 9:33,9,GADW,BL13E09U06,Unit 6,Unit 5,,,2.54,DIKE
11,6/14/2013 9:01,10,BWTE,BL13E10U02,Unit 2,,,,2.64,
12,6/14/2013 9:40,11,NSHO?,BL13E11U02,Unit 2,,,,8.18,
13,6/14/2013 9:50,12,MALL,BL13E12U02,Unit 2,,,,5.61,
25,6/21/2013 9:28,13,MALL,BL13E13U4B,Unit 4B,Unit 2,Inter-unit Canal,,3.71,UN 2 DIKE
26,6/21/2013 11:04,14,UNK?,BL13E14U03,Unit 3,Unit 2,Inter-unit Canal,,3.85,UNIT 2/3 DIKE
27,6/25/2013 9:12,15,BWTE,BL13E15U4C,Unit 4C,Inter-unit Canal,,,2.36,CANAL DIKE
28,6/25/2013 9:53,16,BWTE,BL13E16U4C,Unit 4C,Inter-unit Canal,,,3.07,CANAL DIKE
29,7/10/2013 0:00,17,GADW,BL13E17U06,Unit 6,,,,2.47,
